loan_id,account_id,loan_type,principal,interest_rate,term_months,monthly_payment,outstanding,start_date,end_date,status
LOAN000020,ACC00000201,business,466546.71,7.27,12,40426.86,466546.71,2021-04-29,2022-04-24,active
LOAN000021,ACC00000694,business,284988.97,9.92,36,9185.09,94996.32,2022-07-28,2025-07-12,paid_off
LOAN000022,ACC00000510,mortgage,608073.89,5.25,240,4097.47,111480.21,2023-11-28,2043-08-15,active
LOAN000023,ACC00000328,personal,16575.19,9.78,24,763.18,15884.56,2024-02-08,2026-01-28,active
LOAN000024,ACC00000012,auto,35313.7,9.82,36,1136.49,1961.87,2025-06-13,2028-05-28,defaulted
LOAN000025,ACC00000297,personal,44856.63,6.25,48,1058.61,44856.63,2021-07-21,2025-06-30,active
LOAN000026,ACC00000439,auto,25611.43,7.49,48,619.14,1067.14,2023-03-22,2027-03-01,active
LOAN000027,ACC00000341,personal,29560.4,3.85,48,665.46,19706.93,2023-08-31,2027-08-10,active
LOAN000028,ACC00000589,mortgage,540667.75,14.15,180,7254.87,474586.14,2021-04-28,2036-02-09,active
LOAN000029,ACC00000235,personal,29290.63,3.91,60,538.24,11716.25,2020-07-19,2025-06-23,active
LOAN000030,ACC00000756,auto,13436.69,13.11,60,306.48,8957.79,2021-11-05,2026-10-10,active
LOAN000031,ACC00000779,business,185911.59,14.02,12,16694.22,170418.96,2024-09-16,2025-09-11,active
LOAN000032,ACC00000618,auto,37006.26,12.25,72,728.3,24670.84,2020-11-19,2026-10-19,active
LOAN000033,ACC00000230,mortgage,575510.99,5.61,360,3307.52,353299.8,2024-03-31,2053-10-25,active
LOAN000034,ACC00000669,auto,36576.94,4.45,60,681.07,4267.31,2025-01-01,2029-12-06,paid_off
LOAN000035,ACC00000586,personal,44643.7,3.69,48,1001.83,9300.77,2023-06-03,2027-05-13,active
LOAN000036,ACC00000791,mortgage,878733.87,5.27,360,4863.29,756687.5,2022-11-14,2052-06-09,active
LOAN000037,ACC00000404,auto,13736.8,9.22,72,249.12,5151.3,2025-04-22,2031-03-22,paid_off
LOAN000038,ACC00000107,mortgage,819430.31,8.28,240,6997.52,293629.19,2022-10-30,2042-07-17,active
LOAN000039,ACC00000022,mortgage,136099.56,9.11,180,1389.33,76366.98,2021-08-08,2036-05-21,active
LOAN000040,ACC00000040,auto,55070.19,7.32,60,1098.79,43138.32,2021-08-20,2026-07-25,active
LOAN000041,ACC00000502,auto,37358.07,6.4,36,1143.29,8301.79,2023-12-31,2026-12-15,active
LOAN000042,ACC00000697,business,344336.38,11.42,24,16116.0,200862.89,2023-11-20,2025-11-09,paid_off
LOAN000043,ACC00000624,mortgage,757280.51,8.9,180,7635.86,180905.9,2020-06-10,2035-03-24,paid_off
LOAN000044,ACC00000776,auto,79517.42,9.72,72,1461.92,0.0,2022-09-28,2028-08-27,active
LOAN000045,ACC00000127,auto,55631.86,6.01,36,1692.68,4635.99,2024-11-08,2027-10-24,active
LOAN000046,ACC00000299,personal,29717.85,11.84,48,780.25,4333.85,2024-01-16,2027-12-26,active
LOAN000047,ACC00000567,mortgage,701354.62,6.61,180,6152.04,537705.21,2020-11-18,2035-09-01,active
LOAN000048,ACC00000399,mortgage,238839.93,9.95,360,2087.17,230215.15,2020-10-05,2050-05-01,active
LOAN000049,ACC00000539,mortgage,410265.0,11.06,240,4251.47,355563.0,2021-04-23,2041-01-08,active
LOAN000050,ACC00000767,auto,13377.84,3.8,60,245.17,2006.68,2025-11-15,2030-10-20,active
LOAN000051,ACC00000780,mortgage,297687.92,6.12,180,2531.4,46307.01,2025-01-13,2039-10-27,active
LOAN000052,ACC00000675,auto,65901.44,9.21,72,1194.79,31120.12,2023-05-31,2029-04-29,active
LOAN000053,ACC00000519,business,71495.52,6.97,60,1414.69,7149.55,2023-11-21,2028-10-25,active
LOAN000054,ACC00000480,personal,14917.15,13.49,12,1335.79,14917.15,2020-05-07,2021-05-02,active
LOAN000055,ACC00000737,mortgage,533061.31,5.54,240,3678.91,295404.81,2024-11-30,2044-08-17,active
LOAN000056,ACC00000634,auto,67919.19,11.29,48,1764.99,35374.58,2025-04-23,2029-04-02,active
LOAN000057,ACC00000403,auto,14503.37,10.9,60,314.62,725.17,2021-10-08,2026-09-12,paid_off
LOAN000058,ACC00000518,personal,32019.71,4.21,60,592.73,12807.88,2021-03-16,2026-02-18,active
LOAN000059,ACC00000329,personal,40014.74,3.62,36,1174.64,23341.93,2023-07-26,2026-07-10,active
LOAN000060,ACC00000499,auto,73002.57,11.35,60,1600.02,58402.06,2021-11-14,2026-10-19,active
LOAN000061,ACC00000029,auto,51349.28,10.62,72,967.42,12124.14,2020-12-17,2026-11-16,active
LOAN000062,ACC00000688,auto,20385.73,8.11,60,414.42,6455.48,2022-11-11,2027-10-16,active
LOAN000063,ACC00000550,business,373712.36,7.0,24,16732.07,311426.97,2025-06-22,2027-06-12,active
LOAN000064,ACC00000213,mortgage,246879.76,4.74,180,1919.04,240021.99,2023-01-09,2037-10-22,active
LOAN000065,ACC00000678,personal,21467.31,11.06,36,703.42,20274.68,2020-03-06,2023-02-19,active
LOAN000066,ACC00000667,mortgage,185079.57,5.57,240,1280.47,58608.53,2025-11-15,2045-08-02,active
LOAN000067,ACC00000549,mortgage,357839.46,10.76,240,3635.31,67094.9,2024-02-01,2043-10-19,defaulted
LOAN000068,ACC00000136,business,349912.93,4.28,36,10374.46,136077.25,2023-01-20,2026-01-04,active
LOAN000069,ACC00000264,mortgage,459878.83,12.0,180,5519.32,447104.42,2022-03-19,2036-12-30,active
LOAN000070,ACC00000583,business,356940.88,14.1,12,32065.49,297450.73,2024-12-25,2025-12-20,active
LOAN000071,ACC00000556,personal,44647.47,9.01,12,3904.69,33485.6,2020-04-18,2021-04-13,defaulted
LOAN000072,ACC00000181,personal,9710.18,3.54,36,284.7,9710.18,2021-12-21,2024-12-05,active
LOAN000073,ACC00000152,auto,20547.16,8.8,48,509.37,9845.51,2020-07-16,2024-06-25,active
LOAN000074,ACC00000710,mortgage,698423.21,4.83,240,4543.95,302650.06,2023-05-27,2043-02-11,paid_off
LOAN000075,ACC00000773,mortgage,183632.36,7.28,240,1454.73,171390.2,2020-06-09,2040-02-25,active
LOAN000076,ACC00000779,personal,21150.37,14.19,12,1900.92,17625.31,2020-09-07,2021-09-02,active
LOAN000077,ACC00000115,auto,69539.47,5.09,36,2086.97,30906.43,2022-12-27,2025-12-11,paid_off
LOAN000078,ACC00000689,business,363949.8,8.21,24,16495.34,0.0,2020-03-07,2022-02-25,active
LOAN000079,ACC00000636,business,483431.73,10.89,24,22507.03,161143.91,2020-03-26,2022-03-16,active
LOAN000080,ACC00000778,personal,46068.77,12.78,12,4109.98,30712.51,2021-04-13,2022-04-08,active
LOAN000081,ACC00000652,personal,22792.27,8.68,12,1989.84,3798.71,2021-08-06,2022-08-01,active
LOAN000082,ACC00000252,mortgage,439810.35,13.32,360,4975.42,12216.95,2025-04-27,2054-11-21,paid_off
LOAN000083,ACC00000495,auto,38127.95,10.6,36,1241.05,22241.3,2025-03-17,2028-03-01,paid_off
LOAN000084,ACC00000796,mortgage,363067.91,14.3,180,4908.52,332812.25,2024-08-23,2039-06-06,paid_off
LOAN000085,ACC00000691,mortgage,440786.41,4.84,180,3449.08,406503.02,2022-11-17,2037-08-30,active
LOAN000086,ACC00000088,auto,71789.37,10.08,48,1823.52,2991.22,2020-10-13,2024-09-22,active
LOAN000087,ACC00000429,business,327477.64,6.42,24,14576.06,218318.43,2023-12-08,2025-11-27,active
LOAN000088,ACC00000271,mortgage,439551.35,13.99,180,5850.73,293034.23,2022-08-19,2037-06-01,defaulted
LOAN000089,ACC00000704,mortgage,252348.32,13.07,360,2805.29,243235.74,2022-11-21,2052-06-16,paid_off
LOAN000090,ACC00000588,business,354126.09,4.55,24,15464.74,339370.84,2021-06-10,2023-05-31,active
LOAN000091,ACC00000459,personal,19419.25,7.16,24,870.86,18610.11,2020-08-20,2022-08-10,active
LOAN000092,ACC00000494,business,426700.2,3.69,36,12539.13,331877.93,2021-09-23,2024-09-07,paid_off
LOAN000093,ACC00000676,business,243768.95,7.47,12,21145.39,81256.32,2021-07-30,2022-07-25,active
LOAN000094,ACC00000688,business,494518.0,4.92,60,9314.05,362646.53,2024-04-20,2029-03-25,active
LOAN000095,ACC00000476,mortgage,394722.28,3.94,360,1870.84,265341.09,2020-02-11,2049-09-06,paid_off
LOAN000096,ACC00000445,personal,13337.53,12.89,36,448.69,370.49,2025-08-02,2028-07-17,paid_off
LOAN000097,ACC00000009,mortgage,443938.09,8.2,180,4293.92,182507.88,2021-04-22,2036-02-03,active
LOAN000098,ACC00000214,personal,48873.1,14.64,24,2361.34,8145.52,2023-02-22,2025-02-11,active
LOAN000099,ACC00000011,mortgage,628993.4,12.3,240,7057.76,199181.24,2022-09-02,2042-05-20,active
LOAN000100,ACC00000356,auto,54976.88,7.32,72,945.77,46577.63,2021-04-03,2027-03-03,active
LOAN000101,ACC00000582,personal,27471.41,7.29,60,547.73,13277.85,2020-04-02,2025-03-07,active
LOAN000102,ACC00000794,mortgage,901072.56,4.03,360,4317.46,645768.67,2020-10-09,2050-05-05,active
LOAN000103,ACC00000578,mortgage,283191.74,6.71,180,2499.71,31465.75,2020-04-13,2035-01-25,active
LOAN000104,ACC00000233,business,325715.75,12.5,24,15408.74,285001.28,2025-12-21,2027-12-11,active
LOAN000105,ACC00000528,auto,15500.43,8.15,72,272.91,5382.09,2021-07-22,2027-06-21,active
LOAN000106,ACC00000503,auto,22512.23,8.99,36,715.78,15633.49,2020-10-15,2023-09-30,paid_off
LOAN000107,ACC00000712,auto,67159.78,5.05,48,1548.16,25184.92,2023-12-24,2027-12-03,active
LOAN000108,ACC00000088,personal,13785.04,8.75,24,628.19,0.0,2022-09-26,2024-09-15,active
LOAN000109,ACC00000262,mortgage,840196.64,8.73,360,6597.83,581136.01,2022-03-08,2051-10-02,active
LOAN000110,ACC00000203,auto,69981.21,9.49,48,1757.81,23327.07,2020-01-22,2024-01-01,active
LOAN000111,ACC00000637,mortgage,913773.89,7.0,360,6079.36,461963.47,2024-01-01,2053-07-27,defaulted
LOAN000112,ACC00000513,business,176565.16,8.45,24,8021.85,169208.28,2023-06-02,2025-05-22,defaulted
LOAN000113,ACC00000714,personal,5856.67,4.3,12,499.5,5856.67,2025-01-20,2026-01-15,active
LOAN000114,ACC00000503,auto,61282.95,4.93,72,984.97,48515.67,2021-07-21,2027-06-20,paid_off
LOAN000115,ACC00000065,mortgage,202009.57,6.97,360,1339.91,83048.38,2024-07-12,2054-02-05,active
LOAN000116,ACC00000486,personal,44251.59,6.04,36,1347.02,38105.54,2023-08-04,2026-07-19,active
LOAN000117,ACC00000102,mortgage,500626.58,10.71,360,4658.21,1390.63,2023-07-26,2053-02-18,active
LOAN000118,ACC00000177,business,77051.04,4.92,24,3377.58,6420.92,2022-06-19,2024-06-08,paid_off
LOAN000119,ACC00000511,business,317309.75,11.04,24,14795.01,145433.64,2021-08-11,2023-08-01,active
LOAN000120,ACC00000717,auto,20946.57,3.69,72,324.76,10182.36,2023-06-25,2029-05-24,active
LOAN000121,ACC00000450,personal,6798.07,14.05,60,158.36,1586.22,2024-11-14,2029-10-19,active
LOAN000122,ACC00000259,mortgage,936276.47,10.18,240,9147.21,628085.47,2024-01-14,2043-10-01,active
LOAN000123,ACC00000730,business,365610.0,4.14,60,6756.39,280301.0,2024-07-26,2029-06-30,active
LOAN000124,ACC00000792,mortgage,440798.16,5.31,180,3557.4,421207.13,2021-06-24,2036-04-06,paid_off
LOAN000125,ACC00000185,auto,60037.49,9.57,72,1099.27,25849.47,2024-01-15,2029-12-14,active
LOAN000126,ACC00000014,mortgage,836258.68,5.8,180,6966.79,497109.33,2021-12-22,2036-10-04,paid_off
LOAN000127,ACC00000495,mortgage,719040.37,5.4,360,4037.63,143808.07,2021-05-03,2050-11-27,paid_off
LOAN000128,ACC00000446,auto,68925.27,4.62,48,1575.46,58873.67,2025-06-05,2029-05-15,active
LOAN000129,ACC00000462,auto,47339.49,10.14,48,1203.84,15779.83,2022-06-24,2026-06-03,active
LOAN000130,ACC00000060,mortgage,748543.88,9.52,180,7825.52,573883.64,2022-09-06,2037-06-19,active
LOAN000131,ACC00000726,mortgage,884631.55,4.11,180,6592.38,240816.37,2025-02-07,2039-11-21,active
LOAN000132,ACC00000370,personal,14972.92,11.6,60,330.05,7736.01,2021-10-05,2026-09-09,active
LOAN000133,ACC00000315,business,71853.31,13.46,36,2436.97,39918.51,2021-04-11,2024-03-26,active
LOAN000134,ACC00000607,auto,43693.6,4.27,36,1295.26,1213.71,2020-08-03,2023-07-19,paid_off
LOAN000135,ACC00000716,business,229790.81,10.17,24,10621.72,134044.64,2023-06-01,2025-05-21,active
LOAN000136,ACC00000659,personal,24658.07,7.01,12,2133.7,4109.68,2025-12-28,2026-12-23,active
LOAN000137,ACC00000308,mortgage,979288.54,5.12,240,6527.96,69366.27,2023-08-12,2043-04-29,paid_off
LOAN000138,ACC00000640,mortgage,459368.44,12.56,180,5679.77,22968.42,2022-03-14,2036-12-25,active
LOAN000139,ACC00000636,business,119757.18,5.77,60,2302.46,9979.77,2020-08-30,2025-08-04,active
LOAN000140,ACC00000356,mortgage,956610.75,11.47,240,10181.81,275025.59,2024-01-11,2043-09-28,paid_off
LOAN000141,ACC00000487,mortgage,183526.03,7.81,180,1733.8,165173.43,2020-06-21,2035-04-04,active
LOAN000142,ACC00000263,mortgage,890548.84,11.81,180,10579.47,301797.11,2024-10-25,2039-08-08,paid_off
LOAN000143,ACC00000671,personal,7567.6,12.38,60,169.79,4540.56,2024-10-25,2029-09-29,active
LOAN000144,ACC00000696,business,461922.86,3.84,12,39298.93,384935.72,2022-05-23,2023-05-18,active
LOAN000145,ACC00000618,personal,20881.04,5.25,48,483.24,3915.2,2024-09-07,2028-08-17,active
LOAN000146,ACC00000167,mortgage,114400.82,13.86,180,1512.78,74360.53,2020-12-31,2035-10-14,defaulted
LOAN000147,ACC00000118,mortgage,303902.32,5.53,240,2095.66,46851.61,2025-11-14,2045-08-01,paid_off
LOAN000148,ACC00000773,personal,19100.25,10.83,24,888.71,7162.59,2024-05-06,2026-04-26,active
LOAN000149,ACC00000160,mortgage,641896.85,13.62,240,7805.59,561659.74,2023-06-18,2043-03-05,active
LOAN000150,ACC00000178,mortgage,441763.08,11.85,360,4493.09,365681.66,2021-07-05,2051-01-29,active
LOAN000151,ACC00000794,personal,9526.56,8.62,24,433.56,3572.46,2021-05-08,2023-04-28,paid_off
LOAN000152,ACC00000344,business,424356.4,11.17,12,37538.98,141452.13,2023-08-18,2024-08-12,active
LOAN000153,ACC00000152,personal,14163.66,5.05,24,621.7,0.0,2022-02-04,2024-01-25,paid_off
LOAN000154,ACC00000181,personal,9168.28,13.98,48,250.44,3056.09,2023-11-29,2027-11-08,paid_off
LOAN000155,ACC00000209,mortgage,549039.57,8.13,240,4636.91,102944.92,2021-04-11,2040-12-27,active
LOAN000156,ACC00000587,mortgage,352098.16,13.1,180,4478.09,318844.44,2021-12-04,2036-09-16,active
LOAN000157,ACC00000126,business,118596.43,4.16,60,2192.71,102783.57,2025-03-04,2030-02-06,active
LOAN000158,ACC00000038,mortgage,192953.59,4.28,240,1197.92,3215.89,2021-02-15,2040-11-02,active
LOAN000159,ACC00000168,auto,17133.64,3.64,72,265.26,14278.03,2023-11-22,2029-10-21,active
LOAN000160,ACC00000042,auto,23073.52,5.8,60,443.93,18843.37,2023-08-26,2028-07-30,active
LOAN000161,ACC00000645,business,164519.87,9.4,36,5262.37,95969.92,2024-02-21,2027-02-05,active
LOAN000162,ACC00000342,personal,22756.9,14.9,60,540.19,4172.1,2021-03-09,2026-02-11,active
LOAN000163,ACC00000041,business,385140.92,7.52,24,17334.69,32095.08,2021-04-19,2023-04-09,active
LOAN000164,ACC00000080,personal,25530.79,10.71,12,2253.0,25530.79,2024-09-20,2025-09-15,active
LOAN000165,ACC00000348,personal,8513.13,6.02,12,732.77,7094.27,2022-08-04,2023-07-30,active
LOAN000166,ACC00000775,personal,30202.53,11.93,36,1002.15,4194.8,2023-10-17,2026-10-01,active
LOAN000167,ACC00000621,auto,22410.27,4.24,60,415.15,10458.13,2024-01-25,2028-12-29,active
LOAN000168,ACC00000615,auto,67759.59,8.32,36,2133.36,35762.01,2020-07-05,2023-06-20,paid_off
LOAN000169,ACC00000281,personal,17938.9,14.39,24,864.61,10464.36,2024-04-24,2026-04-14,paid_off
LOAN000170,ACC00000504,mortgage,747844.28,3.92,240,4500.33,180729.03,2025-11-08,2045-07-26,active
LOAN000171,ACC00000774,mortgage,476778.91,4.8,180,3720.85,476778.91,2023-04-14,2038-01-25,active
LOAN000172,ACC00000057,business,438444.52,9.88,36,14122.68,207043.25,2024-04-17,2027-04-02,active
LOAN000173,ACC00000340,personal,14723.48,10.73,24,684.39,11656.09,2023-06-08,2025-05-28,defaulted
LOAN000174,ACC00000236,personal,18010.16,9.56,60,378.78,17709.99,2023-04-07,2028-03-11,active
LOAN000175,ACC00000563,mortgage,928518.9,13.83,360,10876.94,358511.46,2023-12-22,2053-07-17,paid_off
LOAN000176,ACC00000638,auto,76949.7,5.2,36,2313.17,2137.49,2024-10-22,2027-10-07,paid_off
LOAN000177,ACC00000093,personal,6547.22,13.44,24,312.62,4637.61,2025-11-17,2027-11-07,paid_off
LOAN000178,ACC00000615,personal,10553.46,12.0,48,277.91,2198.64,2025-07-08,2029-06-17,active
LOAN000179,ACC00000319,auto,33430.22,7.08,36,1033.45,928.62,2025-06-23,2028-06-07,active
LOAN000180,ACC00000516,mortgage,613031.91,9.73,240,5806.65,43423.09,2025-05-18,2045-02-02,active
LOAN000181,ACC00000245,business,198022.91,10.04,36,6393.36,93510.82,2021-04-03,2024-03-18,paid_off
LOAN000182,ACC00000142,auto,38024.42,11.42,72,731.97,3168.7,2021-08-01,2027-07-01,active
LOAN000183,ACC00000709,personal,14830.61,10.14,12,1304.81,0.0,2024-12-31,2025-12-26,active
LOAN000184,ACC00000572,personal,27107.42,8.94,24,1237.65,27107.42,2025-01-27,2027-01-17,active
LOAN000185,ACC00000250,business,370688.62,5.35,24,16320.79,278016.46,2021-07-05,2023-06-25,active
LOAN000186,ACC00000023,business,303333.5,9.72,12,26628.35,278055.71,2022-04-20,2023-04-15,active
LOAN000187,ACC00000634,business,307596.12,11.27,12,27224.61,0.0,2024-09-16,2025-09-11,paid_off
LOAN000188,ACC00000519,business,389398.88,9.71,24,17916.71,64899.81,2020-08-26,2022-08-16,active
LOAN000189,ACC00000788,personal,42997.57,5.5,24,1896.01,12540.96,2025-01-14,2027-01-04,active
LOAN000190,ACC00000662,business,258795.78,12.63,36,8673.8,14377.54,2023-09-27,2026-09-11,active
LOAN000191,ACC00000135,auto,49432.12,5.23,36,1486.63,41193.43,2024-04-26,2027-04-11,active
LOAN000192,ACC00000595,business,462653.47,14.41,24,22303.04,269881.19,2024-06-07,2026-05-28,active
LOAN000193,ACC00000439,mortgage,196236.55,11.23,360,1902.99,176612.89,2025-07-18,2055-02-11,active
LOAN000194,ACC00000702,mortgage,906936.23,14.02,180,12090.23,851512.35,2023-05-23,2038-03-05,paid_off
LOAN000195,ACC00000201,personal,31002.35,14.18,24,1491.15,16792.94,2020-07-03,2022-06-23,active
LOAN000196,ACC00000767,personal,34792.25,9.71,60,734.28,5218.84,2023-03-12,2028-02-14,paid_off
LOAN000197,ACC00000733,mortgage,640758.59,4.6,240,4088.42,184218.09,2025-12-03,2045-08-20,paid_off
LOAN000198,ACC00000411,business,87757.13,6.83,36,2702.87,12188.49,2021-08-20,2024-08-04,active
LOAN000199,ACC00000558,mortgage,939675.04,12.27,180,11441.42,31322.5,2023-11-18,2038-08-31,active
LOAN000200,ACC00000606,personal,32780.92,12.4,48,869.7,7512.29,2024-07-11,2028-06-20,active
