investment_id,account_id,asset_type,symbol,quantity,purchase_price,current_price,current_value,purchase_date
INV000027,ACC00000115,bond,JPM,208.96,251.42,327.74,68484.55,2022-03-14
INV000028,ACC00000465,bond,IWM,353.74,409.23,586.6,207503.88,2021-01-10
INV000029,ACC00000699,etf,VTI,287.81,232.77,199.56,57435.36,2021-04-28
INV000030,ACC00000225,stock,AAPL,234.91,206.45,177.39,41670.68,2023-02-23
INV000031,ACC00000767,etf,V,15.89,102.56,101.63,1614.9,2022-10-31
INV000032,ACC00000048,stock,NVDA,170.11,428.22,416.3,70816.79,2024-08-14
INV000033,ACC00000527,bond,AGG,53.41,326.34,314.41,16792.64,2023-04-27
INV000034,ACC00000733,mutual_fund,MSFT,195.28,453.48,371.41,72528.94,2024-03-10
INV000035,ACC00000373,bond,QQQ,305.75,370.74,500.78,153113.48,2022-12-22
INV000036,ACC00000176,mutual_fund,V,219.07,263.46,383.65,84046.21,2024-01-09
INV000037,ACC00000486,stock,IWM,424.79,334.21,439.8,186822.64,2022-12-26
INV000038,ACC00000381,etf,JPM,421.55,498.39,477.65,201353.36,2025-01-22
INV000039,ACC00000006,mutual_fund,FXAIX,245.76,76.01,113.41,27871.64,2022-12-12
INV000040,ACC00000033,stock,VTI,54.66,309.53,396.11,21651.37,2025-11-16
INV000041,ACC00000354,bond,FXAIX,256.03,350.01,324.29,83027.97,2023-01-27
INV000042,ACC00000486,stock,AGG,173.14,72.64,81.1,14041.65,2022-01-24
INV000043,ACC00000110,bond,GOOGL,311.08,294.23,261.01,81194.99,2025-08-12
INV000044,ACC00000014,mutual_fund,TLT,153.73,173.37,122.23,18790.42,2021-10-17
INV000045,ACC00000639,stock,TSLA,131.83,80.25,85.9,11324.2,2020-04-01
INV000046,ACC00000388,etf,JPM,319.57,50.02,55.41,17707.37,2022-11-05
INV000047,ACC00000620,etf,V,411.93,80.27,87.52,36052.11,2024-01-28
INV000048,ACC00000204,mutual_fund,MSFT,189.2,342.96,256.45,48520.34,2025-05-10
INV000049,ACC00000040,bond,AMZN,127.49,304.6,298.87,38102.94,2023-11-18
INV000050,ACC00000508,stock,TSLA,210.8,99.59,122.82,25890.46,2024-04-20
INV000051,ACC00000616,etf,QQQ,386.09,135.82,193.84,74839.69,2024-05-23
INV000052,ACC00000290,mutual_fund,GOOGL,36.71,214.89,205.37,7539.13,2020-10-17
INV000053,ACC00000099,etf,MSFT,281.35,253.2,293.48,82570.6,2025-11-28
INV000054,ACC00000543,mutual_fund,VTI,481.15,191.04,192.33,92539.58,2022-03-06
INV000055,ACC00000414,etf,AGG,449.65,405.58,300.31,135034.39,2021-02-12
INV000056,ACC00000712,mutual_fund,AMZN,299.15,230.14,204.1,61056.51,2022-03-02
INV000057,ACC00000234,stock,MSFT,316.19,150.95,209.06,66102.68,2023-09-02
INV000058,ACC00000748,bond,SPY,472.06,124.22,172.94,81638.06,2025-11-26
INV000059,ACC00000673,mutual_fund,JNJ,128.95,343.07,412.19,53151.9,2021-12-26
INV000060,ACC00000593,mutual_fund,VFIAX,363.31,489.46,692.37,251544.94,2022-03-26
INV000061,ACC00000723,etf,QQQ,56.63,54.74,43.31,2452.65,2021-01-28
INV000062,ACC00000407,etf,AMZN,441.9,136.43,157.11,69426.91,2021-03-07
INV000063,ACC00000027,mutual_fund,JPM,270.59,264.06,349.56,94587.44,2020-10-18
INV000064,ACC00000382,mutual_fund,JPM,120.51,463.12,426.4,51385.46,2023-07-05
INV000065,ACC00000191,mutual_fund,TLT,414.15,443.22,593.29,245711.05,2025-01-04
INV000066,ACC00000026,stock,FXAIX,443.53,191.8,179.91,79795.48,2021-02-19
INV000067,ACC00000103,etf,GOOGL,333.57,104.73,115.51,38530.67,2025-02-21
INV000068,ACC00000723,bond,AGG,207.58,393.22,374.9,77821.74,2025-01-28
INV000069,ACC00000127,mutual_fund,MSFT,17.61,123.87,169.98,2993.35,2023-08-01
INV000070,ACC00000557,etf,QQQ,137.97,456.98,389.56,53747.59,2023-09-18
INV000071,ACC00000413,mutual_fund,IWM,176.32,286.15,425.74,75066.48,2025-10-05
INV000072,ACC00000621,stock,AGG,425.72,77.12,99.94,42546.46,2025-07-02
INV000073,ACC00000651,bond,TLT,58.7,375.89,429.51,25212.24,2020-04-09
INV000074,ACC00000581,mutual_fund,SPY,438.25,335.62,349.3,153080.73,2020-09-11
INV000075,ACC00000110,stock,FXAIX,354.34,209.2,155.83,55216.8,2025-12-01
INV000076,ACC00000673,mutual_fund,FXAIX,387.84,56.94,80.59,31256.03,2023-04-11
INV000077,ACC00000612,bond,QQQ,269.56,331.69,311.14,83870.9,2024-03-23
INV000078,ACC00000607,etf,TSLA,77.61,415.53,385.61,29927.19,2023-08-05
INV000079,ACC00000165,etf,FXAIX,321.39,329.46,452.74,145506.11,2020-09-17
INV000080,ACC00000314,stock,IWM,219.29,449.43,525.67,115274.17,2020-05-27
INV000081,ACC00000642,etf,TSLA,311.06,451.83,464.16,144381.61,2024-01-06
INV000082,ACC00000692,stock,AGG,483.28,213.03,280.23,135429.55,2024-02-26
INV000083,ACC00000144,bond,AGG,470.52,145.85,206.52,97171.79,2020-07-06
INV000084,ACC00000130,stock,VFIAX,23.61,66.22,90.02,2125.37,2024-10-26
INV000085,ACC00000547,stock,AMZN,53.06,315.83,463.15,24574.74,2023-03-13
INV000086,ACC00000517,etf,VFIAX,70.7,271.55,268.06,18951.84,2023-04-22
INV000087,ACC00000365,mutual_fund,IWM,386.77,386.76,282.44,109239.32,2025-07-12
INV000088,ACC00000127,stock,NVDA,32.78,247.22,238.47,7817.05,2022-08-17
INV000089,ACC00000630,stock,QQQ,308.31,387.45,549.83,169518.09,2024-09-17
INV000090,ACC00000460,mutual_fund,FXAIX,161.68,150.65,202.56,32749.9,2024-08-22
INV000091,ACC00000566,stock,AGG,389.8,227.49,209.24,81561.75,2021-03-13
INV000092,ACC00000024,stock,JNJ,302.57,444.81,388.24,117469.78,2022-04-13
INV000093,ACC00000564,mutual_fund,GOOGL,295.63,271.33,248.06,73333.98,2021-02-03
INV000094,ACC00000723,stock,QQQ,489.5,175.59,245.85,120343.57,2021-01-03
INV000095,ACC00000269,etf,AMZN,296.54,412.34,583.77,173111.16,2022-05-19
INV000096,ACC00000158,etf,MSFT,494.42,93.21,107.51,53155.09,2021-03-24
INV000097,ACC00000453,bond,BND,162.83,446.72,584.85,95231.13,2023-01-18
INV000098,ACC00000255,stock,SPY,18.32,171.56,219.13,4014.46,2024-02-27
INV000099,ACC00000170,bond,MSFT,105.28,209.59,190.81,20088.48,2020-12-16
INV000100,ACC00000182,stock,V,255.69,213.34,264.77,67699.04,2022-11-26
