loan_id,account_id,loan_type,principal,interest_rate,term_months,monthly_payment,outstanding,start_date,end_date,status
LOAN000019,ACC00000445,mortgage,863357.68,6.41,360,5406.01,419687.76,2021-10-21,2051-05-17,active
LOAN000020,ACC00000086,personal,28806.76,14.16,36,986.79,28006.57,2021-09-24,2024-09-08,defaulted
LOAN000021,ACC00000759,mortgage,555714.32,13.73,240,6801.72,442255.98,2025-05-15,2045-01-30,paid_off
LOAN000022,ACC00000590,business,192892.7,9.13,60,4016.32,106090.99,2021-07-16,2026-06-20,active
LOAN000023,ACC00000329,business,279711.1,4.13,24,12162.62,221437.95,2023-01-08,2024-12-28,active
LOAN000024,ACC00000269,mortgage,316250.78,12.57,360,3392.4,303952.14,2023-06-21,2053-01-14,active
LOAN000025,ACC00000633,auto,37769.92,13.9,60,876.88,17625.96,2025-10-08,2030-09-12,active
LOAN000026,ACC00000667,auto,57748.72,10.26,36,1870.45,38499.15,2024-03-31,2027-03-16,active
LOAN000027,ACC00000242,auto,75781.12,14.66,36,2614.38,56835.84,2020-06-12,2023-05-28,paid_off
LOAN000028,ACC00000739,personal,15218.51,7.24,48,366.12,1585.26,2025-03-07,2029-02-14,paid_off
LOAN000029,ACC00000106,personal,22285.88,8.24,12,1941.09,20428.72,2023-04-07,2024-04-01,active
LOAN000030,ACC00000280,business,111175.05,14.3,24,5353.6,55587.53,2023-11-29,2025-11-18,paid_off
LOAN000031,ACC00000304,mortgage,355446.6,4.0,360,1696.96,272509.06,2021-08-08,2051-03-04,paid_off
LOAN000032,ACC00000254,business,180058.23,7.55,60,3612.28,54017.47,2023-07-05,2028-06-08,defaulted
LOAN000033,ACC00000236,auto,73457.61,6.54,48,1743.4,1530.37,2021-08-08,2025-07-18,active
LOAN000034,ACC00000637,business,91005.8,13.0,60,2070.66,39435.85,2022-09-19,2027-08-24,active
LOAN000035,ACC00000271,business,409523.8,6.3,12,35302.75,136507.93,2024-03-14,2025-03-09,active
LOAN000036,ACC00000478,business,424945.78,7.3,60,8474.71,347039.05,2020-04-03,2025-03-08,active
LOAN000037,ACC00000531,auto,71253.24,12.85,60,1615.76,10687.99,2024-06-02,2029-05-07,paid_off
LOAN000038,ACC00000775,auto,60063.27,9.37,60,1257.63,50052.72,2023-08-27,2028-07-31,paid_off
LOAN000039,ACC00000062,mortgage,267001.76,5.43,360,1504.3,104575.69,2022-10-11,2052-05-06,defaulted
LOAN000040,ACC00000447,personal,48330.83,3.72,60,883.99,8055.14,2021-12-01,2026-11-05,active
LOAN000041,ACC00000724,auto,71701.39,14.33,36,2462.09,25892.17,2025-03-20,2028-03-04,active
LOAN000042,ACC00000184,mortgage,437979.04,10.24,180,4771.06,221422.74,2025-07-21,2040-05-03,active
LOAN000043,ACC00000113,business,451289.05,4.58,36,13440.6,225644.52,2022-04-15,2025-03-30,active
LOAN000044,ACC00000697,auto,46904.31,10.41,36,1522.51,19543.46,2021-05-17,2024-05-01,paid_off
LOAN000045,ACC00000575,auto,11133.82,7.6,60,223.63,10020.44,2021-06-19,2026-05-24,active
LOAN000046,ACC00000724,auto,69709.8,8.39,60,1426.51,1161.83,2024-09-18,2029-08-23,active
LOAN000047,ACC00000090,mortgage,954230.97,9.58,360,8079.45,310125.07,2022-12-21,2052-07-16,active
LOAN000048,ACC00000346,personal,43871.38,8.14,24,1986.99,18279.74,2021-10-23,2023-10-13,active
LOAN000049,ACC00000384,mortgage,575460.59,7.42,180,5308.46,479550.49,2025-11-14,2040-08-27,active
LOAN000050,ACC00000679,auto,51206.86,7.87,60,1035.11,3413.79,2021-06-26,2026-05-31,active
LOAN000051,ACC00000134,personal,34933.72,4.48,60,650.95,14555.72,2020-11-10,2025-10-15,active
LOAN000052,ACC00000251,business,169799.02,14.19,36,5819.01,117915.99,2025-08-08,2028-07-23,active
LOAN000053,ACC00000135,personal,15055.27,12.24,36,501.78,9618.64,2023-06-21,2026-06-05,active
LOAN000054,ACC00000397,business,364463.05,12.76,36,12238.11,91115.76,2025-03-30,2028-03-14,paid_off
LOAN000055,ACC00000580,mortgage,970627.91,12.36,240,10932.05,355896.9,2024-02-15,2043-11-02,paid_off
LOAN000056,ACC00000390,auto,59077.24,5.35,72,961.06,4102.59,2024-07-22,2030-06-21,active
LOAN000057,ACC00000673,auto,48197.62,9.99,48,1222.18,13053.52,2022-11-26,2026-11-05,defaulted
LOAN000058,ACC00000667,auto,16065.24,8.5,36,507.14,5355.08,2024-12-01,2027-11-16,active
LOAN000059,ACC00000445,personal,17899.12,7.82,36,559.41,2485.99,2022-11-01,2025-10-16,active
LOAN000060,ACC00000134,business,497319.49,10.92,12,43935.37,331546.33,2022-06-11,2023-06-06,active
LOAN000061,ACC00000088,personal,13811.14,5.97,12,1188.49,12660.21,2020-04-12,2021-04-07,paid_off
LOAN000062,ACC00000414,mortgage,173333.25,11.43,240,1840.12,68611.08,2024-03-21,2043-12-07,active
LOAN000063,ACC00000553,mortgage,814414.5,6.03,240,5848.82,122162.18,2023-03-29,2042-12-14,active
LOAN000064,ACC00000412,personal,41464.82,13.15,24,1974.24,29370.91,2024-11-08,2026-10-29,active
LOAN000065,ACC00000106,personal,11349.89,4.98,12,971.53,9458.24,2023-10-11,2024-10-05,active
LOAN000066,ACC00000697,personal,39097.57,13.38,36,1324.52,19548.78,2023-06-11,2026-05-26,paid_off
LOAN000067,ACC00000476,mortgage,773779.05,5.72,240,5419.33,706073.38,2020-05-14,2040-01-30,active
LOAN000068,ACC00000001,business,94491.65,14.75,60,2235.57,78743.04,2021-06-07,2026-05-12,active
LOAN000069,ACC00000794,personal,45690.54,12.89,60,1037.03,2284.53,2025-10-21,2030-09-25,active
LOAN000070,ACC00000242,personal,7913.17,7.74,36,247.02,2857.53,2023-02-21,2026-02-05,paid_off
LOAN000071,ACC00000481,business,92866.39,13.19,60,2122.04,80484.2,2025-05-17,2030-04-21,defaulted
LOAN000072,ACC00000507,business,135637.79,13.05,36,4573.44,26374.01,2023-08-27,2026-08-11,paid_off
LOAN000073,ACC00000189,personal,47994.66,5.34,36,1445.78,31996.44,2021-09-27,2024-09-11,active
LOAN000074,ACC00000603,auto,16526.29,5.87,72,272.88,3672.51,2020-06-19,2026-05-19,active
LOAN000075,ACC00000332,personal,48981.16,12.41,12,4361.32,8163.53,2022-11-11,2023-11-06,active
LOAN000076,ACC00000135,auto,54839.21,12.49,36,1834.31,16756.43,2025-12-09,2028-11-23,paid_off
LOAN000077,ACC00000564,business,382587.73,11.17,60,8350.86,293317.26,2020-03-10,2025-02-12,active
LOAN000078,ACC00000640,business,486351.28,13.76,12,43613.18,81058.55,2021-09-01,2022-08-27,active
LOAN000079,ACC00000344,personal,25761.67,13.68,48,699.85,18247.85,2021-01-04,2024-12-14,paid_off
LOAN000080,ACC00000723,business,72751.89,6.88,24,3253.33,30313.29,2022-11-22,2024-11-11,active
LOAN000081,ACC00000016,auto,65020.84,14.95,48,1807.93,59602.44,2020-09-12,2024-08-22,active
LOAN000082,ACC00000060,mortgage,491401.54,8.38,180,4804.52,196560.62,2021-02-24,2035-12-08,active
LOAN000083,ACC00000638,mortgage,563068.5,13.93,360,6640.45,397276.11,2021-10-20,2051-05-16,active
LOAN000084,ACC00000172,mortgage,849377.75,13.38,360,9648.74,247735.18,2022-04-28,2051-11-22,paid_off
LOAN000085,ACC00000495,business,284164.52,12.74,24,13475.02,236803.77,2025-05-30,2027-05-20,active
LOAN000086,ACC00000644,business,304060.31,10.93,60,6600.4,273654.28,2024-05-22,2029-04-26,active
LOAN000087,ACC00000623,business,308983.13,4.99,24,13554.14,270360.24,2025-02-22,2027-02-12,active
LOAN000088,ACC00000304,business,189504.92,3.72,12,16112.09,47376.23,2023-06-15,2024-06-09,active
LOAN000089,ACC00000131,auto,61952.67,10.12,48,1574.85,11616.13,2020-03-29,2024-03-08,paid_off
LOAN000090,ACC00000088,mortgage,890843.58,12.11,180,10754.75,851250.53,2020-03-27,2035-01-08,active
LOAN000091,ACC00000141,auto,48710.19,12.77,72,971.91,41268.36,2022-11-01,2028-09-30,paid_off
LOAN000092,ACC00000051,mortgage,997504.83,8.01,240,8349.74,295095.18,2024-01-29,2043-10-16,paid_off
LOAN000093,ACC00000028,auto,68994.84,14.11,72,1425.76,16290.45,2024-07-09,2030-06-08,active
LOAN000094,ACC00000799,mortgage,966276.0,12.99,360,10681.39,904541.7,2020-10-07,2050-05-03,active
LOAN000095,ACC00000442,mortgage,560350.4,13.28,180,7193.34,164992.06,2021-10-16,2036-07-29,defaulted
LOAN000096,ACC00000651,personal,31042.59,12.55,12,2766.09,23281.94,2020-02-19,2021-02-13,active
LOAN000097,ACC00000238,personal,45560.18,8.46,48,1122.12,4745.85,2025-08-30,2029-08-09,paid_off
LOAN000098,ACC00000281,personal,10963.49,7.05,24,491.11,8679.43,2025-04-11,2027-04-01,active
LOAN000099,ACC00000443,mortgage,908430.64,9.38,360,7559.17,373465.93,2023-04-22,2052-11-15,defaulted
LOAN000100,ACC00000762,business,385369.76,5.7,60,7396.64,231221.86,2023-08-27,2028-07-31,active
LOAN000101,ACC00000237,auto,76737.52,4.88,72,1231.59,17052.78,2021-11-17,2027-10-17,paid_off
LOAN000102,ACC00000299,business,267190.51,8.45,12,23298.11,44531.75,2025-04-12,2026-04-07,paid_off
LOAN000103,ACC00000566,mortgage,179824.21,11.02,360,1715.23,147355.95,2022-06-20,2052-01-14,active
LOAN000104,ACC00000560,business,479929.05,3.67,12,40793.59,399940.88,2020-12-24,2021-12-19,active
LOAN000105,ACC00000341,personal,7085.01,12.69,12,631.78,6494.59,2025-01-31,2026-01-26,active
LOAN000106,ACC00000263,personal,24654.03,10.32,24,1141.3,6163.51,2020-08-03,2022-07-24,active
LOAN000107,ACC00000441,mortgage,157985.21,7.93,240,1314.58,20406.42,2024-08-13,2044-04-30,active
LOAN000108,ACC00000482,business,492868.57,9.79,60,10421.15,98573.71,2021-02-05,2026-01-10,active
LOAN000109,ACC00000067,mortgage,996588.15,11.51,360,9876.73,116268.62,2020-04-23,2049-11-17,paid_off
LOAN000110,ACC00000799,auto,66259.85,13.97,72,1364.27,39571.85,2022-09-16,2028-08-15,active
LOAN000111,ACC00000321,mortgage,584126.72,10.05,360,5147.73,428359.59,2020-05-24,2049-12-18,active
LOAN000112,ACC00000081,personal,39583.53,10.25,24,1831.15,11545.2,2021-09-16,2023-09-06,active
LOAN000113,ACC00000701,business,499650.36,11.77,12,44339.59,291462.71,2025-12-24,2026-12-19,active
LOAN000114,ACC00000659,personal,28395.15,12.32,24,1340.91,22479.49,2024-06-02,2026-05-23,active
LOAN000115,ACC00000483,business,202732.62,10.65,24,9416.02,160496.66,2022-10-29,2024-10-18,paid_off
LOAN000116,ACC00000097,mortgage,514457.1,10.81,180,5786.07,77168.57,2024-03-01,2038-12-13,active
LOAN000117,ACC00000632,mortgage,672366.9,8.75,180,6719.96,100855.04,2025-10-13,2040-07-26,active
LOAN000118,ACC00000632,personal,9561.51,3.94,12,813.9,7967.93,2020-01-24,2021-01-18,active
LOAN000119,ACC00000544,business,403022.51,13.08,24,19175.57,117548.23,2024-09-06,2026-08-27,active
LOAN000120,ACC00000067,personal,10813.82,12.12,48,285.41,5406.91,2021-06-10,2025-05-20,active
LOAN000121,ACC00000296,mortgage,826135.95,13.86,360,9697.18,667793.23,2022-03-03,2051-09-27,active
LOAN000122,ACC00000369,mortgage,822980.96,10.75,360,7682.37,102872.62,2020-07-31,2050-02-24,active
LOAN000123,ACC00000319,auto,29484.2,13.24,36,996.85,22932.16,2021-05-19,2024-05-03,paid_off
LOAN000124,ACC00000070,auto,64757.06,10.74,36,2112.1,23384.49,2025-08-09,2028-07-24,active
LOAN000125,ACC00000248,mortgage,380285.92,12.53,180,4694.53,23239.7,2021-07-30,2036-05-12,active
LOAN000126,ACC00000412,business,107920.82,6.3,60,2101.5,25181.52,2020-08-07,2025-07-12,paid_off
LOAN000127,ACC00000322,auto,64082.92,6.08,48,1507.34,54737.49,2025-11-24,2029-11-03,active
LOAN000128,ACC00000507,mortgage,478784.28,9.98,360,4194.6,82457.29,2021-05-30,2050-12-24,defaulted
LOAN000129,ACC00000637,mortgage,322016.0,9.58,360,2726.5,248667.91,2022-11-22,2052-06-17,paid_off
LOAN000130,ACC00000155,personal,11214.66,7.21,36,347.35,0.0,2020-02-08,2023-01-23,active
LOAN000131,ACC00000734,mortgage,765651.5,13.77,360,8932.79,589126.29,2020-01-07,2049-08-02,paid_off
LOAN000132,ACC00000784,mortgage,344143.62,9.02,240,3100.78,183543.26,2023-02-28,2042-11-15,active
LOAN000133,ACC00000133,business,292949.85,3.79,12,24916.55,268537.36,2022-03-16,2023-03-11,paid_off
LOAN000134,ACC00000338,personal,19115.75,5.4,24,842.06,3982.45,2025-11-11,2027-11-01,active
LOAN000135,ACC00000686,auto,74160.23,5.12,48,1711.89,57165.18,2020-04-20,2024-03-30,active
LOAN000136,ACC00000395,mortgage,717924.46,7.85,360,5193.0,648126.25,2025-06-13,2055-01-07,active
LOAN000137,ACC00000550,personal,25684.03,8.15,24,1163.38,17122.69,2025-03-05,2027-02-23,active
LOAN000138,ACC00000098,business,284177.85,13.71,60,6569.67,146825.22,2025-01-18,2029-12-23,paid_off
LOAN000139,ACC00000420,business,116813.38,11.81,36,3869.28,25958.53,2024-03-15,2027-02-28,active
LOAN000140,ACC00000306,business,244399.82,13.52,24,11679.0,213849.84,2020-03-13,2022-03-03,paid_off
LOAN000141,ACC00000061,business,121171.22,9.68,24,5573.56,95927.22,2024-08-19,2026-08-09,active
LOAN000142,ACC00000498,auto,54217.73,5.6,48,1263.39,30497.47,2024-03-16,2028-02-24,paid_off
LOAN000143,ACC00000325,personal,27110.88,11.71,24,1272.53,0.0,2025-11-27,2027-11-17,active
LOAN000144,ACC00000536,auto,32242.09,6.11,72,536.02,27764.02,2020-03-11,2026-02-08,active
LOAN000145,ACC00000573,business,271970.0,12.6,60,6132.61,122386.5,2024-10-02,2029-09-06,active
LOAN000146,ACC00000565,business,350463.73,14.83,36,12119.78,292053.11,2023-12-26,2026-12-10,active
LOAN000147,ACC00000623,auto,63609.82,10.25,48,1620.96,33130.11,2021-07-21,2025-06-30,paid_off
LOAN000148,ACC00000582,personal,6584.29,9.2,36,209.99,182.9,2023-01-18,2026-01-02,paid_off
LOAN000149,ACC00000458,mortgage,722499.02,5.58,180,5934.14,381318.93,2021-03-29,2036-01-10,active
LOAN000150,ACC00000533,personal,13921.0,6.06,48,327.32,2030.15,2021-01-31,2025-01-10,active
LOAN000151,ACC00000366,auto,49250.96,14.22,36,1688.55,21889.32,2025-06-14,2028-05-29,active
LOAN000152,ACC00000610,auto,72800.81,6.5,48,1726.47,9100.1,2023-09-24,2027-09-03,defaulted
LOAN000153,ACC00000371,auto,26729.47,4.7,72,426.77,2598.7,2021-06-20,2027-05-20,active
LOAN000154,ACC00000141,personal,34370.78,11.94,48,904.1,17901.45,2022-07-22,2026-07-01,paid_off
LOAN000155,ACC00000493,auto,62378.55,10.39,72,1167.92,58913.08,2023-12-13,2029-11-11,paid_off
LOAN000156,ACC00000628,auto,79344.75,4.13,36,2347.16,48488.46,2025-08-01,2028-07-16,paid_off
LOAN000157,ACC00000131,mortgage,477905.01,7.2,180,4349.16,238952.51,2025-01-01,2039-10-15,defaulted
LOAN000158,ACC00000129,business,173600.45,9.72,36,5578.8,120555.87,2024-06-19,2027-06-04,active
LOAN000159,ACC00000014,personal,26976.51,9.21,12,2361.76,0.0,2021-06-17,2022-06-12,paid_off
LOAN000160,ACC00000254,mortgage,300352.97,7.8,240,2475.02,165194.13,2025-01-26,2044-10-13,paid_off
LOAN000161,ACC00000698,personal,5654.26,12.63,36,189.51,1884.75,2023-06-05,2026-05-20,active
LOAN000162,ACC00000124,mortgage,679683.49,3.73,180,4936.07,188800.97,2024-06-17,2039-03-31,active
LOAN000163,ACC00000172,personal,28447.27,12.18,48,751.64,24891.36,2025-09-05,2029-08-15,paid_off
LOAN000164,ACC00000282,personal,7974.43,14.1,12,716.38,0.0,2020-12-13,2021-12-08,active
LOAN000165,ACC00000645,mortgage,433116.29,4.65,360,2233.31,301978.3,2022-10-28,2052-05-23,active
LOAN000166,ACC00000346,auto,60649.35,11.41,72,1167.18,8423.52,2022-07-18,2028-06-16,active
LOAN000167,ACC00000358,personal,43965.54,13.01,48,1179.7,4579.74,2020-11-07,2024-10-17,active
LOAN000168,ACC00000578,auto,22589.52,4.17,72,355.17,22589.52,2025-02-25,2031-01-25,paid_off
LOAN000169,ACC00000743,personal,29552.78,11.62,36,976.22,3283.64,2024-03-21,2027-03-06,active
LOAN000170,ACC00000664,mortgage,367538.01,6.71,240,2785.89,165392.1,2025-06-04,2045-02-19,active
LOAN000171,ACC00000435,business,467255.48,11.78,24,21947.36,136282.85,2023-03-30,2025-03-19,active
LOAN000172,ACC00000430,personal,22454.3,13.32,24,1070.9,22454.3,2023-05-24,2025-05-13,active
LOAN000173,ACC00000005,auto,30011.78,14.75,72,630.53,12504.91,2025-05-31,2031-04-30,active
LOAN000174,ACC00000651,personal,5423.96,6.96,12,469.22,0.0,2023-06-19,2024-06-13,active
LOAN000175,ACC00000430,mortgage,530390.84,4.64,180,4095.51,132597.71,2024-04-30,2039-02-11,paid_off
LOAN000176,ACC00000431,business,56609.47,14.41,12,5093.73,9434.91,2024-02-15,2025-02-09,active
LOAN000177,ACC00000765,personal,14677.54,4.37,60,272.77,2690.88,2021-12-24,2026-11-28,active
LOAN000178,ACC00000328,mortgage,358278.76,7.39,180,3298.93,350317.01,2024-08-19,2039-06-02,active
LOAN000179,ACC00000545,mortgage,626847.81,11.29,360,6107.38,276857.78,2020-06-14,2050-01-08,active
LOAN000180,ACC00000033,auto,32042.44,7.8,36,1001.14,18691.42,2021-10-20,2024-10-04,active
LOAN000181,ACC00000636,auto,15456.59,13.7,48,420.05,12236.47,2021-05-26,2025-05-05,active
LOAN000182,ACC00000543,mortgage,938764.95,13.54,180,12213.14,636274.02,2024-11-13,2039-08-27,active
LOAN000183,ACC00000031,auto,67231.97,5.79,72,1107.58,47622.65,2023-02-08,2029-01-07,paid_off
LOAN000184,ACC00000367,mortgage,813651.99,14.58,360,10015.44,494971.63,2024-07-10,2054-02-03,active
LOAN000185,ACC00000698,business,265332.52,6.24,60,5159.28,30955.46,2023-10-10,2028-09-13,active
LOAN000186,ACC00000315,personal,26681.28,3.73,48,599.22,2779.3,2023-05-08,2027-04-17,paid_off
LOAN000187,ACC00000282,business,265948.89,5.08,36,7980.28,192074.2,2022-01-04,2024-12-19,active
LOAN000188,ACC00000691,auto,62152.7,3.54,72,959.42,49204.22,2024-11-02,2030-10-02,paid_off
LOAN000189,ACC00000357,personal,46813.96,10.9,12,4135.31,39011.63,2024-07-03,2025-06-28,active
LOAN000190,ACC00000042,mortgage,267861.96,7.77,180,2524.39,251492.62,2024-10-07,2039-07-21,paid_off
LOAN000191,ACC00000651,mortgage,845135.43,12.99,360,9342.28,767664.68,2021-12-16,2051-07-12,paid_off
LOAN000192,ACC00000490,auto,76486.28,10.36,36,2480.94,29744.66,2025-08-08,2028-07-23,active
LOAN000193,ACC00000171,mortgage,688259.64,11.3,180,7952.88,229419.88,2025-10-29,2040-08-11,defaulted
LOAN000194,ACC00000540,personal,40303.4,4.45,36,1198.0,29108.01,2024-05-02,2027-04-17,paid_off
LOAN000195,ACC00000321,personal,43021.26,5.54,60,822.55,38719.13,2021-09-10,2026-08-15,active
LOAN000196,ACC00000692,auto,61400.85,4.07,60,1132.73,49120.68,2021-02-14,2026-01-19,paid_off
LOAN000197,ACC00000364,business,457506.71,11.23,60,9999.86,144877.12,2020-08-15,2025-07-20,active
LOAN000198,ACC00000661,personal,46662.94,5.66,36,1412.4,38885.78,2020-08-26,2023-08-11,active
LOAN000199,ACC00000562,personal,11592.75,7.38,36,359.97,2576.17,2025-11-25,2028-11-09,active
LOAN000200,ACC00000109,mortgage,277636.2,7.44,360,1929.88,202057.46,2022-08-06,2052-03-01,active
