transaction_id,account_id,amount,currency,transaction_type,error_code,error_message,attempted_date,merchant
FTXN0000095,ACC00000109,675.39,USD,debit,E004,Expired card,2026-08-19,Whole Foods
FTXN0000096,ACC00000727,1035.07,USD,debit,E004,Expired card,2026-11-20,Spotify
FTXN0000097,ACC00000053,1426.82,USD,debit,E002,Card declined,2026-06-25,Home Depot
FTXN0000098,ACC00000660,2734.84,USD,debit,E001,Insufficient funds,2026-05-21,Starbucks
FTXN0000099,ACC00000112,452.58,USD,debit,E004,Expired card,2026-12-30,Whole Foods
FTXN0000100,ACC00000083,1739.44,USD,debit,E001,Insufficient funds,2026-09-19,Nike
FTXN0000101,ACC00000663,2913.28,USD,debit,E005,Fraud suspected,2025-11-25,Lyft
FTXN0000102,ACC00000261,2777.9,USD,debit,E001,Insufficient funds,2025-04-13,Walgreens
FTXN0000103,ACC00000228,99.49,USD,debit,E003,Invalid PIN,2025-07-04,Lyft
FTXN0000104,ACC00000503,1980.53,USD,debit,E005,Fraud suspected,2025-07-21,Lyft
FTXN0000105,ACC00000760,2038.08,USD,debit,E005,Fraud suspected,2026-12-17,Uber
FTXN0000106,ACC00000108,689.35,USD,debit,E005,Fraud suspected,2025-09-01,Netflix
FTXN0000107,ACC00001105,2769.3,USD,debit,E001,Insufficient funds,2026-03-17,Uber
FTXN0000108,ACC00000679,2796.99,USD,debit,E005,Fraud suspected,2026-02-10,Uber
FTXN0000109,ACC00000943,2240.42,USD,debit,E004,Expired card,2026-07-25,Chipotle
FTXN0000110,ACC00000832,2647.52,USD,debit,E002,Card declined,2025-02-02,Chipotle
