loan_id,account_id,loan_type,principal,interest_rate,term_months,monthly_payment,outstanding,start_date,end_date,status
LOAN000228,ACC00000897,auto,59978.72,12.72,72,1195.17,43317.96,2023-09-01,2029-07-31,active
LOAN000229,ACC00000932,personal,41924.67,14.32,60,982.48,36334.71,2026-05-12,2031-04-16,paid_off
LOAN000230,ACC00001066,mortgage,985810.81,4.93,180,7759.83,651730.48,2023-02-03,2037-11-16,paid_off
LOAN000231,ACC00000917,mortgage,496382.6,10.82,180,5585.89,377802.31,2023-01-23,2037-11-05,active
LOAN000232,ACC00001005,business,420915.68,9.44,24,19314.51,70152.61,2024-08-14,2026-08-04,active
LOAN000233,ACC00001018,personal,28019.52,9.54,60,589.01,7004.88,2024-09-06,2029-08-11,active
LOAN000234,ACC00001070,auto,61967.47,7.37,36,1923.88,39590.33,2026-02-27,2029-02-11,paid_off
LOAN000235,ACC00001129,personal,34101.04,5.63,12,2929.16,34101.04,2023-03-08,2024-03-02,active
LOAN000236,ACC00001037,mortgage,258633.65,3.99,360,1233.27,108482.45,2024-01-21,2053-08-16,paid_off
LOAN000237,ACC00001081,business,156091.84,8.59,36,4933.95,30351.19,2026-08-09,2029-07-24,active
LOAN000238,ACC00000977,personal,33288.67,10.36,36,1079.77,23117.13,2024-08-30,2027-08-15,active
LOAN000239,ACC00001005,business,106021.43,10.35,24,4909.5,88351.19,2025-11-25,2027-11-15,active
LOAN000240,ACC00000837,mortgage,665746.19,10.44,360,6060.0,144245.01,2025-10-15,2055-05-11,active
LOAN000241,ACC00001041,personal,40236.63,8.96,48,1000.53,14250.47,2026-10-27,2030-10-06,paid_off
LOAN000242,ACC00001140,personal,20054.37,11.81,48,526.24,1671.2,2024-05-21,2028-04-30,active
LOAN000243,ACC00001122,personal,16812.48,8.43,48,413.84,16462.22,2023-12-27,2027-12-06,active
LOAN000244,ACC00001058,personal,28529.53,6.42,48,675.52,2377.46,2025-05-15,2029-04-24,active
LOAN000245,ACC00000925,personal,32457.43,13.18,60,741.5,22179.24,2023-08-08,2028-07-12,active
LOAN000246,ACC00001144,personal,27214.29,3.86,48,612.77,9071.43,2024-12-15,2028-11-24,active
LOAN000247,ACC00000830,personal,21843.64,13.97,12,1960.97,16382.73,2026-06-08,2027-06-03,paid_off
LOAN000248,ACC00000836,business,412009.52,9.98,12,36218.35,103002.38,2025-10-16,2026-10-11,active
LOAN000249,ACC00001060,mortgage,470225.38,8.22,360,3522.73,266461.05,2023-10-03,2053-04-28,active
LOAN000250,ACC00001041,auto,45371.19,3.97,72,709.22,13233.26,2023-12-05,2029-11-03,active
LOAN000251,ACC00001088,mortgage,686169.09,9.35,360,5694.74,72428.96,2023-09-16,2053-04-11,paid_off
LOAN000252,ACC00000906,auto,15439.47,10.51,36,501.89,10292.98,2026-05-09,2029-04-23,paid_off
LOAN000253,ACC00001098,mortgage,603004.41,4.99,240,3976.23,243714.28,2025-03-02,2044-11-17,active
LOAN000254,ACC00001074,personal,9045.25,12.67,24,428.63,5653.28,2026-11-10,2028-10-30,active
LOAN000255,ACC00000924,mortgage,429242.61,14.5,240,5494.3,135926.83,2023-04-22,2043-01-07,active
LOAN000256,ACC00001006,auto,46803.16,7.31,36,1451.79,9100.61,2025-05-21,2028-05-05,paid_off
LOAN000257,ACC00001124,mortgage,617439.52,14.92,240,8093.91,164650.54,2025-02-22,2044-11-09,active
LOAN000258,ACC00000967,personal,29831.85,8.68,24,1358.48,27345.86,2026-07-26,2028-07-15,active
LOAN000259,ACC00001113,business,443714.49,11.4,60,9736.18,7395.24,2025-10-25,2030-09-29,paid_off
LOAN000260,ACC00001124,auto,37434.24,10.76,72,707.93,3639.44,2024-01-26,2029-12-25,paid_off
LOAN000261,ACC00000952,mortgage,786622.22,5.15,360,4295.16,159509.51,2026-12-26,2056-07-21,paid_off
LOAN000262,ACC00000856,auto,15061.7,8.76,72,269.7,9413.56,2023-01-16,2028-12-15,active
LOAN000263,ACC00001026,auto,12133.75,9.98,36,391.41,12133.75,2023-06-25,2026-06-09,active
LOAN000264,ACC00000995,auto,39888.14,9.85,60,844.56,11301.64,2026-01-14,2030-12-19,active
LOAN000265,ACC00001145,mortgage,345867.03,5.82,180,2885.1,46115.6,2026-07-26,2041-05-08,active
LOAN000266,ACC00001037,auto,51719.72,11.17,60,1128.9,11205.94,2025-07-30,2030-07-04,defaulted
LOAN000267,ACC00001023,personal,16636.9,4.83,12,1422.95,4159.23,2024-12-18,2025-12-13,active
LOAN000268,ACC00001148,personal,44778.67,12.81,12,3995.52,0.0,2025-02-14,2026-02-09,active
LOAN000269,ACC00000988,auto,15504.07,5.76,60,298.01,0.0,2025-12-29,2030-12-03,defaulted
LOAN000270,ACC00001127,mortgage,394749.01,11.13,360,3798.11,186409.25,2026-05-30,2055-12-24,active
LOAN000271,ACC00001147,auto,30373.06,9.48,48,762.78,19615.93,2024-03-25,2028-03-04,active
LOAN000272,ACC00001002,auto,10549.5,12.12,60,235.31,703.3,2024-01-20,2028-12-24,active
LOAN000273,ACC00001132,auto,74566.39,11.93,36,2474.18,37283.19,2025-09-23,2028-09-07,paid_off
LOAN000274,ACC00000855,personal,19053.18,11.82,24,895.3,11114.35,2026-03-10,2028-02-28,active
LOAN000275,ACC00000812,auto,48941.78,14.29,72,1016.1,47582.29,2025-06-10,2031-05-10,active
LOAN000276,ACC00001048,personal,45444.05,3.77,36,1337.04,41657.05,2023-01-27,2026-01-11,paid_off
LOAN000277,ACC00000947,business,136152.31,3.76,24,5897.87,90768.21,2024-09-27,2026-09-17,active
LOAN000278,ACC00001006,mortgage,576455.82,6.45,240,4280.95,177740.54,2025-02-15,2044-11-02,active
LOAN000279,ACC00001030,auto,35918.07,8.25,36,1129.69,26938.55,2025-05-11,2028-04-25,active
LOAN000280,ACC00001050,business,74257.44,6.63,24,3312.26,6188.12,2026-05-10,2028-04-29,active
