atm_id,branch_id,address,city,latitude,longitude,available_24h,withdrawal_fee,deposit_enabled,status
ATM0066,,679 Martinez Ave,New York,43.30738,-102.248518,0,0,1,operational
ATM0067,BR026,1208 Davis Ave,Houston,28.081952,-110.680743,1,0,0,operational
ATM0068,BR045,1675 Jackson Ave,Portland,41.628465,-89.594305,1,3.0,1,operational
ATM0069,BR046,3711 Martin Ave,Austin,30.149464,-82.536203,1,3.0,1,operational
ATM0070,BR013,1380 Brown Ave,Charlotte,41.783691,-109.529447,0,3.0,0,operational
ATM0071,BR031,767 Johnson Ave,Houston,36.098868,-102.57657,1,3.5,0,operational
ATM0072,BR023,3584 Gonzalez Ave,Chicago,25.40647,-99.892329,0,3.0,1,operational
ATM0073,BR050,6202 Lee Ave,Boston,47.006109,-94.567992,0,2.5,1,operational
ATM0074,BR008,1753 White Ave,New York,45.172211,-100.743114,0,2.5,1,operational
ATM0075,BR022,6746 Johnson Ave,Houston,35.257091,-105.792779,1,3.0,1,offline
ATM0076,BR023,8620 Garcia Ave,Detroit,27.015187,-121.602203,1,3.5,0,operational
ATM0077,BR035,3569 Jones Ave,San Jose,44.051797,-93.495288,1,3.5,1,operational
ATM0078,BR030,3228 Jones Ave,Denver,41.769087,-75.268221,0,3.5,1,operational
ATM0079,BR043,3287 Jones Ave,New York,37.475924,-100.558045,1,0,1,operational
ATM0080,,4396 Martinez Ave,Fort Worth,40.579694,-73.377506,0,3.0,0,operational
ATM0081,BR003,6576 Rodriguez Ave,Phoenix,40.084311,-119.768152,1,0,1,operational
ATM0082,BR001,2762 Wilson Ave,New York,40.315302,-113.104809,1,3.5,0,maintenance
ATM0083,BR035,6376 Rodriguez Ave,New York,25.673077,-80.005532,1,0,1,operational
ATM0084,BR022,8438 Jackson Ave,Philadelphia,25.391476,-91.225231,1,2.5,1,operational
ATM0085,,2468 Thomas Ave,San Diego,36.236788,-95.059463,1,2.5,0,operational
ATM0086,BR014,8179 Jones Ave,San Antonio,27.244995,-103.389445,1,2.5,0,operational
ATM0087,BR001,2800 Williams Ave,San Jose,26.739843,-112.589207,0,2.5,1,operational
ATM0088,BR034,4789 Garcia Ave,Boston,34.643068,-114.754178,1,2.5,1,operational
ATM0089,BR018,3701 Brown Ave,Portland,43.318397,-97.228181,0,3.0,0,operational
ATM0090,BR019,4012 Wilson Ave,San Diego,34.276368,-111.823009,1,2.5,1,operational
ATM0091,BR049,3154 Jackson Ave,San Diego,32.433749,-103.37313,0,2.5,0,operational
ATM0092,,8595 Johnson Ave,Dallas,43.625745,-103.829652,0,2.5,0,operational
ATM0093,BR034,2922 Wilson Ave,Los Angeles,39.68015,-116.92233,1,0,0,maintenance
ATM0094,BR027,1538 Thompson Ave,Detroit,33.140567,-88.858425,1,0,0,operational
ATM0095,BR023,6688 Thomas Ave,Boston,25.413442,-78.212803,1,3.5,1,operational
ATM0096,BR011,6247 Taylor Ave,Detroit,45.286089,-116.858033,0,3.5,1,maintenance
ATM0097,BR019,6289 Hernandez Ave,Dallas,43.957473,-111.552068,1,3.0,0,operational
ATM0098,BR014,7647 Anderson Ave,Denver,28.539402,-108.191524,1,2.5,0,operational
ATM0099,BR028,3207 Johnson Ave,Detroit,35.903597,-93.349619,1,3.0,1,operational
ATM0100,BR048,3367 Hernandez Ave,Houston,43.737323,-87.62166,1,3.0,1,maintenance
