loan_id,account_id,loan_type,principal,interest_rate,term_months,monthly_payment,outstanding,start_date,end_date,status
LOAN000680,ACC00002400,auto,77835.29,14.28,72,1615.55,67024.83,2026-06-13,2032-05-12,paid_off
LOAN000681,ACC00002594,business,363773.48,5.19,12,31173.41,363773.48,2023-12-16,2024-12-10,active
LOAN000682,ACC00002455,auto,63101.86,13.85,48,1719.61,63101.86,2026-03-16,2030-02-23,active
LOAN000683,ACC00002611,personal,19210.08,9.6,24,882.91,6403.36,2025-09-16,2027-09-06,paid_off
LOAN000684,ACC00002473,business,151223.23,5.8,60,2909.53,2520.39,2024-11-24,2029-10-29,active
LOAN000685,ACC00002520,mortgage,171748.06,5.5,180,1403.32,67745.07,2023-09-25,2038-07-08,active
LOAN000686,ACC00002363,auto,14892.4,12.3,36,496.78,7446.2,2026-08-21,2029-08-05,active
LOAN000687,ACC00002380,auto,11176.26,3.96,72,174.65,3104.52,2023-03-21,2029-02-17,defaulted
LOAN000688,ACC00002464,mortgage,823970.86,11.5,360,8159.71,366209.27,2023-06-13,2053-01-06,paid_off
LOAN000689,ACC00002432,mortgage,767858.22,4.8,360,4028.69,571627.79,2025-08-05,2055-03-01,paid_off
LOAN000690,ACC00002421,mortgage,971615.39,12.63,360,10467.75,585668.17,2025-06-13,2055-01-07,active
LOAN000691,ACC00002415,auto,68193.25,5.61,72,1117.65,51144.94,2024-07-29,2030-06-28,active
LOAN000692,ACC00002372,business,372352.72,5.61,36,11262.01,82745.05,2025-10-12,2028-09-26,active
LOAN000693,ACC00002555,business,273515.92,6.8,36,8420.39,174746.28,2026-11-04,2029-10-19,active
LOAN000694,ACC00002662,business,258645.46,4.88,60,4866.75,60350.61,2025-10-30,2030-10-04,paid_off
LOAN000695,ACC00002482,mortgage,508861.54,5.66,180,4201.15,446667.35,2023-02-14,2037-11-27,paid_off
LOAN000696,ACC00002443,personal,7766.11,12.22,12,690.81,6471.76,2026-11-12,2027-11-07,active
LOAN000697,ACC00002613,mortgage,648220.19,8.46,360,4965.89,64822.02,2023-11-02,2053-05-28,defaulted
LOAN000698,ACC00002430,business,198420.24,6.04,60,3839.71,115745.14,2024-02-08,2029-01-12,active
LOAN000699,ACC00002610,mortgage,812022.78,6.1,180,6896.26,293230.45,2024-04-21,2039-02-02,paid_off
LOAN000700,ACC00002576,personal,21975.96,4.37,48,499.84,17397.63,2024-03-26,2028-03-05,paid_off
LOAN000701,ACC00002486,personal,29862.16,9.1,60,621.34,995.41,2023-05-25,2028-04-28,active
LOAN000702,ACC00002503,business,78238.56,12.22,36,2606.87,0.0,2025-01-22,2028-01-07,paid_off
LOAN000703,ACC00002646,auto,36308.59,14.86,60,861.11,0.0,2023-10-23,2028-09-26,active
LOAN000704,ACC00002526,mortgage,906643.73,10.55,360,8327.34,788276.35,2023-08-13,2053-03-08,active
LOAN000705,ACC00002491,business,266644.63,14.75,60,6308.52,22220.39,2026-03-15,2031-02-17,active
LOAN000706,ACC00002605,mortgage,479993.17,7.79,240,3952.35,305995.65,2025-05-15,2045-01-30,paid_off
LOAN000707,ACC00002596,mortgage,736074.22,7.51,360,5151.78,294429.69,2025-09-24,2055-04-20,active
LOAN000708,ACC00002653,mortgage,475767.95,9.69,180,5022.78,322464.94,2024-12-25,2039-10-08,active
LOAN000709,ACC00002363,business,98695.06,4.33,24,4300.34,28786.06,2026-03-14,2028-03-03,active
LOAN000710,ACC00002641,personal,36614.58,5.52,24,1614.87,9153.65,2023-12-25,2025-12-14,active
LOAN000711,ACC00002624,business,454659.96,11.62,36,15018.83,25258.89,2026-01-13,2028-12-28,active
LOAN000712,ACC00002499,personal,48139.26,15.0,24,2334.11,30087.04,2025-03-31,2027-03-21,active
LOAN000713,ACC00002552,auto,20227.25,9.9,72,373.71,2809.34,2023-06-23,2029-05-22,active
LOAN000714,ACC00002525,auto,67064.96,4.02,48,1514.86,64270.59,2024-01-26,2028-01-05,active
LOAN000715,ACC00002437,auto,42919.38,11.16,36,1408.38,32189.53,2026-03-12,2029-02-24,active
LOAN000716,ACC00002650,auto,40435.77,11.79,60,895.19,28978.97,2024-03-02,2029-02-04,paid_off
LOAN000717,ACC00002646,personal,23109.1,13.68,36,786.23,4493.44,2024-06-23,2027-06-08,paid_off
LOAN000718,ACC00002478,mortgage,319572.85,11.26,240,3355.33,45272.82,2026-04-11,2045-12-27,active
LOAN000719,ACC00002462,mortgage,958514.31,6.46,360,6033.27,114489.21,2026-05-31,2055-12-25,paid_off
LOAN000720,ACC00002521,business,302376.16,4.97,24,13261.6,163787.09,2024-05-20,2026-05-10,active
